target_R_ohm,theoretical_R_ohm,squares,trace_len_um
500,500.0,1541.8,4625
1000,1000.0,3083.6,9251
2000,2000.0,6167.1,18501
4000,4000.0,12334.3,37003
8000,8000.0,24668.5,74006
16000,16000.0,49337.0,148011
32000,32000.0,98674.1,296022
64000,64000.0,197348.1,592044
